"Dato/klokkeslett","Gjennomsnittsforbruk strøm (kWh/100 km)","Kjørestrekning (km)","Kjøretid","Gjennomsnittshastighet (km/t)"
"2020-01-17T08:10:28+01:00","25,3","9","0:15","36"
"2020-01-16T20:00:44+01:00","34,9","28","0:51","33"
"2020-01-16T08:09:25+01:00","24,0","9","0:14","39"
"2020-01-15T19:57:11+01:00","35,8","4","0:09","29"
"2020-01-15T16:57:01+01:00","38,6","9","0:17","30"
"2020-01-15T08:01:22+01:00","24,6","9","0:15","35"
"2020-01-14T20:02:17+01:00","30,6","9","0:13","42"
"2020-01-14T16:31:00+01:00","37,6","9","0:19","30"
"2020-01-14T08:09:50+01:00","25,5","9","0:16","34"
"2020-01-13T20:04:54+01:00","8,0","2","0:06","22"
"2020-01-13T17:47:49+01:00","44,6","12","0:24","30"
"2020-01-13T08:06:41+01:00","22,6","9","0:16","34"
"2020-01-12T19:24:39+01:00","20,6","141","2:12","64"
"2020-01-11T18:19:17+01:00","30,8","32","0:43","45"
"2020-01-10T20:37:56+01:00","31,2","141","2:04","68"
"2020-01-10T16:00:01+01:00","40,7","9","0:17","33"
"2020-01-10T08:09:46+01:00","25,3","9","0:15","36"
"2020-01-09T19:19:43+01:00","31,1","22","0:29","45"
"2020-01-09T16:27:21+01:00","41,3","9","0:17","34"
"2020-01-09T11:43:35+01:00","33,6","12","0:15","50"
"2020-01-09T08:04:06+01:00","29,6","9","0:14","39"
"2020-01-08T20:23:16+01:00","35,6","43","1:06","40"
"2020-01-08T07:56:07+01:00","22,8","9","0:15","36"
"2020-01-07T19:03:03+01:00","30,7","8","0:16","32"
"2020-01-07T16:29:45+01:00","40,1","9","0:18","32"
"2020-01-07T08:08:20+01:00","27,6","9","0:14","38"
"2020-01-06T20:05:27+01:00","8,1","2","0:05","25"
"2020-01-06T17:25:33+01:00","51,3","12","0:27","27"
"2020-01-06T07:55:37+01:00","28,5","9","0:15","35"
"2020-01-03T21:29:14+01:00","56,0","4","0:11","24"
"2020-01-03T16:43:04+01:00","51,7","9","0:26","22"
"2020-01-03T08:08:47+01:00","29,1","9","0:15","37"
"2020-01-02T16:28:29+01:00","31,3","9","0:18","32"
"2020-01-02T13:54:59+01:00","30,3","12","0:15","50"
"2020-01-02T08:10:52+01:00","27,4","9","0:14","39"
"2020-01-01T16:54:13+01:00","48,2","8","0:20","25"
"2019-12-31T17:06:18+01:00","33,0","22","0:35","38"
"2019-12-31T13:01:43+01:00","38,5","11","0:22","32"
"2019-12-30T20:45:57+01:00","38,0","25","0:46","32"
"2019-12-29T21:13:52+01:00","31,2","17","0:24","43"
"2019-12-28T18:20:03+01:00","39,3","18","0:33","33"
"2019-12-23T21:12:50+01:00","35,1","9","0:23","24"
"2019-12-21T18:15:20+01:00","31,9","13","0:21","39"
"2019-12-20T16:29:41+01:00","35,7","8","0:19","26"
"2019-12-20T12:47:25+01:00","26,8","9","0:17","35"
"2019-12-19T19:57:48+01:00","26,3","75","1:16","60"
"2019-12-19T12:02:47+01:00","45,7","2","0:06","21"
"2019-12-19T08:03:18+01:00","26,6","9","0:15","35"
"2019-12-18T19:29:18+01:00","52,3","2","0:10","17"
"2019-12-18T16:41:06+01:00","37,1","6","0:08","47"
"2019-12-18T12:07:21+01:00","50,1","4","0:12","19"
"2019-12-18T08:03:38+01:00","24,1","9","0:15","36"
"2019-12-17T19:55:12+01:00","30,7","13","0:18","42"
"2019-12-17T16:24:57+01:00","39,8","6","0:15","27"
"2019-12-17T08:05:06+01:00","25,0","9","0:16","34"
"2019-12-16T19:48:22+01:00","33,2","27","0:49","33"
"2019-12-16T08:13:39+01:00","25,3","12","0:27","27"
"2019-12-14T20:38:40+01:00","27,2","105","1:48","58"
"2019-12-14T15:40:32+01:00","23,9","102","1:39","62"
"2019-12-13T19:34:12+01:00","32,9","13","0:18","44"
"2019-12-13T16:31:11+01:00","42,0","9","0:17","33"
"2019-12-13T07:57:05+01:00","24,0","9","0:15","37"
"2019-12-12T20:07:23+01:00","29,7","51","1:07","46"
"2019-12-12T07:59:53+01:00","25,2","9","0:16","35"
"2019-12-11T19:57:40+01:00","32,8","40","1:03","38"
"2019-12-11T07:57:28+01:00","26,1","9","0:14","38"
"2019-12-10T20:17:19+01:00","32,9","78","1:46","44"
"2019-12-10T07:58:56+01:00","28,9","9","0:15","35"
"2019-12-09T22:10:48+01:00","43,4","28","0:57","29"
"2019-12-09T08:32:38+01:00","25,7","3","0:07","30"
"2019-12-02T08:44:17+01:00","35,0","13","0:40","20"
"2019-12-01T19:30:38+01:00","82,5","2","0:05","25"
"2019-12-01T16:58:24+01:00","19,8","143","2:22","61"
"2019-11-30T18:42:27+01:00","33,1","31","0:41","45"
"2019-11-29T20:57:46+01:00","30,1","141","2:05","68"
"2019-11-29T16:31:05+01:00","40,3","9","0:15","39"
"2019-11-29T08:13:23+01:00","26,9","9","0:15","36"
"2019-11-27T17:42:26+01:00","31,3","27","0:37","44"
"2019-11-27T08:03:28+01:00","24,4","9","0:14","38"
"2019-11-26T20:12:07+01:00","32,6","18","0:27","40"
"2019-11-26T16:40:15+01:00","41,4","11","0:22","31"
"2019-11-26T08:05:31+01:00","26,9","9","0:14","38"
"2019-11-25T19:12:37+01:00","42,7","14","0:30","29"
"2019-11-25T08:00:54+01:00","26,1","9","0:16","34"
"2019-11-24T20:15:41+01:00","30,0","31","0:50","37"
"2019-11-24T15:52:44+01:00","22,2","226","3:07","72"
"2019-11-22T21:00:16+01:00","28,4","229","3:11","72"
"2019-11-22T15:22:37+01:00","40,0","6","0:10","38"
"2019-11-22T08:16:02+01:00","21,8","9","0:20","28"
"2019-11-21T16:58:43+01:00","35,2","6","0:08","45"
"2019-11-21T12:05:42+01:00","33,9","11","0:20","34"
"2019-11-21T08:17:54+01:00","26,0","9","0:16","34"
"2019-11-17T13:50:33+01:00","27,0","46","1:04","43"
"2019-11-17T00:52:11+01:00","50,1","7","0:17","26"
"2019-11-16T17:53:12+01:00","25,6","72","1:36","45"
"2019-11-15T17:27:28+01:00","28,3","57","1:25","40"
"2019-11-15T08:20:48+01:00","30,0","9","0:19","29"
"2019-11-14T18:15:35+01:00","34,4","24","0:38","38"
"2019-11-14T08:03:54+01:00","24,8","9","0:15","37"
"2019-11-13T19:35:48+01:00","33,7","38","0:58","40"
"2019-11-13T08:03:09+01:00","24,9","9","0:15","37"
"2019-11-12T21:30:34+01:00","28,7","13","0:18","44"
"2019-11-12T16:24:56+01:00","37,0","17","0:33","31"
"2019-11-12T08:02:54+01:00","27,7","9","0:14","39"
"2019-11-11T22:02:53+01:00","30,4","42","0:59","43"
"2019-11-11T17:50:10+01:00","47,7","12","0:22","32"
"2019-11-11T08:02:57+01:00","27,8","9","0:15","36"
"2019-11-10T20:26:04+01:00","21,2","141","2:11","65"
"2019-11-10T15:21:08+01:00","29,8","66","1:08","58"
"2019-11-09T18:12:32+01:00","30,4","151","2:22","64"
"2019-11-08T16:20:28+01:00","41,3","9","0:18","31"
"2019-11-07T22:13:30+01:00","38,1","15","0:32","28"
"2019-11-07T15:48:23+01:00","37,3","10","0:16","36"
"2019-11-07T08:02:30+01:00","25,4","9","0:15","36"
"2019-11-06T20:01:44+01:00","32,7","37","1:05","34"
"2019-11-06T07:47:16+01:00","27,8","9","0:14","40"
"2019-11-05T16:28:05+01:00","39,2","9","0:16","35"
"2019-11-05T08:07:03+01:00","24,7","9","0:15","36"
"2019-11-04T19:33:09+01:00","36,3","19","0:40","29"
"2019-11-04T08:17:13+01:00","23,8","9","0:15","36"
"2019-11-03T17:01:50+01:00","22,1","207","3:07","66"
"2019-11-02T18:22:57+01:00","27,4","32","0:44","43"
"2019-11-01T19:13:49+01:00","26,8","152","2:32","60"
"2019-11-01T08:10:24+01:00","25,5","9","0:14","39"
"2019-10-31T20:42:21+01:00","45,2","20","0:52","24"
"2019-10-31T08:21:09+01:00","29,4","9","0:15","36"
"2019-10-30T20:42:53+01:00","34,8","12","0:16","46"
"2019-10-29T20:15:59+01:00","31,3","14","0:29","29"
"2019-10-29T15:40:11+01:00","36,2","3","0:10","23"
"2019-10-29T15:22:27+01:00","26,9","14","0:25","34"
"2019-10-29T11:13:24+01:00","26,9","13","0:40","20"
"2019-10-29T08:07:02+01:00","40,7","3","0:11","21"
"2019-10-28T19:13:35+01:00","39,4","13","0:25","32"
"2019-10-28T08:35:25+01:00","30,8","11","0:33","22"
"2019-10-27T19:02:58+01:00","20,3","143","2:15","64"
"2019-10-25T20:31:34+02:00","29,4","151","2:22","64"
"2019-10-25T08:15:09+02:00","24,3","9","0:15","36"
"2019-10-24T20:03:15+02:00","29,5","23","0:46","30"
"2019-10-24T08:03:35+02:00","24,1","9","0:17","33"
"2019-10-23T20:15:06+02:00","22,0","1","0:04","28"
"2019-10-23T18:08:16+02:00","28,5","38","0:58","39"
"2019-10-23T09:40:34+02:00","24,9","17","0:24","44"
"2019-10-22T21:09:37+02:00","26,9","18","0:24","45"
"2019-10-21T21:40:24+02:00","36,4","18","0:45","24"
"2019-10-21T08:15:18+02:00","22,7","9","0:16","35"
"2019-10-20T16:54:38+02:00","31,0","17","0:21","49"
"2019-10-18T16:20:29+02:00","24,2","37","0:50","45"
"2019-10-18T08:08:06+02:00","22,0","9","0:17","33"
"2019-10-17T16:57:28+02:00","27,1","18","1:07","16"
"2019-10-17T08:39:36+02:00","30,8","10","0:18","34"
"2019-10-16T19:29:02+02:00","31,4","24","0:50","29"
"2019-10-16T08:05:06+02:00","20,3","9","0:15","36"
"2019-10-15T18:57:08+02:00","26,8","39","1:10","34"
"2019-10-15T13:42:42+02:00","28,0","12","0:21","37"
"2019-10-15T08:07:50+02:00","24,6","9","0:17","32"
"2019-10-14T20:22:56+02:00","28,7","22","0:42","32"
"2019-10-14T16:20:49+02:00","36,0","9","0:17","35"
"2019-10-14T08:05:23+02:00","25,8","9","0:16","35"
"2019-10-13T18:06:53+02:00","17,3","144","2:12","65"
"2019-10-12T16:21:04+02:00","45,7","6","0:14","28"
"2019-10-11T17:54:51+02:00","26,7","35","0:47","45"
"2019-10-09T19:44:24+02:00","27,6","31","0:40","48"
"2019-10-08T20:45:26+02:00","27,9","171","2:40","64"
"2019-10-08T07:41:12+02:00","21,5","6","0:07","46"
"2019-10-07T19:38:56+02:00","44,6","14","0:37","24"

