"Dato/klokkeslett","Gjennomsnittsforbruk strøm (kWh/100 km)","Kjørestrekning (km)","Kjøretid","Gjennomsnittshastighet (km/t)"
"2020-08-17T19:15:28+02:00","27,3","19","0:44","26"
"2020-08-16T20:17:25+02:00","17,2","138","2:37","53"
"2020-08-15T20:11:02+02:00","23,1","57","1:28","39"
"2020-08-14T20:24:12+02:00","23,9","141","2:21","60"
"2020-08-14T15:33:56+02:00","28,1","4","0:11","26"
"2020-08-13T20:25:40+02:00","23,6","25","0:45","34"
"2020-08-12T20:47:23+02:00","28,8","6","0:17","21"
"2020-08-12T16:01:18+02:00","22,7","35","0:57","37"
"2020-08-12T09:15:50+02:00","25,7","31","0:55","34"
"2020-08-11T19:38:02+02:00","24,1","12","0:15","49"
"2020-08-11T15:34:51+02:00","27,8","3","0:09","23"
"2020-08-10T20:06:36+02:00","27,2","5","0:09","32"
"2020-08-10T09:23:37+02:00","24,5","44","1:03","42"
"2020-08-09T19:07:45+02:00","28,1","6","0:17","23"
"2020-08-09T14:41:20+02:00","30,9","11","0:32","20"
"2020-08-08T20:23:22+02:00","19,4","144","2:14","65"
"2020-08-07T16:29:54+02:00","23,3","35","0:59","36"
"2020-08-06T18:31:12+02:00","24,2","35","0:59","36"
"2020-08-05T21:06:18+02:00","43,2","6","0:19","21"
"2020-08-04T20:20:39+02:00","25,9","32","0:53","37"
"2020-08-03T20:54:15+02:00","30,3","32","1:00","33"
"2020-08-03T13:15:44+02:00","31,3","30","0:41","45"
"2020-08-02T22:29:54+02:00","28,3","33","0:55","36"
"2020-08-01T21:01:20+02:00","30,5","10","0:20","30"
"2020-08-01T13:08:40+02:00","23,7","10","0:21","30"
"2020-07-31T22:50:30+02:00","21,0","286","4:28","64"
"2020-07-30T18:39:36+02:00","47,6","7","0:24","18"
"2020-07-30T16:02:30+02:00","19,2","4","0:10","24"
"2020-07-29T23:14:07+02:00","41,6","10","0:27","24"
"2020-07-28T21:56:47+02:00","24,4","32","0:49","39"
"2020-07-28T11:20:38+02:00","38,6","6","0:13","30"
"2020-07-27T14:03:11+02:00","27,4","22","0:34","39"
"2020-07-25T23:14:45+02:00","27,8","30","0:53","35"
"2020-07-25T15:28:21+02:00","24,9","35","1:02","34"
"2020-07-24T21:28:26+02:00","32,9","11","0:17","38"
"2020-07-24T18:47:59+02:00","27,6","11","0:19","36"
"2020-07-23T19:55:11+02:00","26,5","30","0:43","42"
"2020-07-23T15:41:59+02:00","24,3","33","0:48","41"
"2020-07-22T13:56:00+02:00","24,9","32","0:48","40"
"2020-07-21T23:02:28+02:00","24,5","138","2:14","62"
"2020-07-20T21:12:16+02:00","24,1","348","5:39","62"
"2020-07-19T18:43:53+02:00","25,3","25","0:44","35"
"2020-07-19T13:19:45+02:00","26,0","32","0:59","33"
"2020-07-18T22:40:04+02:00","21,9","422","6:36","64"
"2020-07-17T17:08:10+02:00","24,7","33","0:59","34"
"2020-07-16T21:48:45+02:00","22,9","94","2:08","44"
"2020-07-15T23:00:11+02:00","30,1","431","7:46","56"
"2020-07-14T21:48:11+02:00","30,2","37","1:07","34"
"2020-07-12T20:38:33+02:00","26,3","59","1:52","32"
"2020-07-11T16:44:07+02:00","34,5","21","0:47","27"
"2020-07-10T21:44:36+02:00","26,5","34","0:52","39"
"2020-07-09T21:05:50+02:00","34,8","12","0:29","25"
"2020-07-08T16:45:50+02:00","35,9","18","0:38","29"
"2020-07-08T13:13:43+02:00","17,5","15","0:21","43"
"2020-07-07T22:05:06+02:00","27,6","33","0:50","40"
"2020-07-06T21:13:49+02:00","32,8","32","0:46","41"
"2020-07-05T20:35:29+02:00","48,9","8","0:26","19"
"2020-07-05T15:47:05+02:00","33,1","29","1:05","27"
"2020-07-04T18:41:09+02:00","25,6","142","2:13","64"
"2020-07-01T22:52:37+02:00","31,0","9","0:16","34"
"2020-06-30T22:23:12+02:00","29,6","9","0:15","35"
"2020-06-30T15:25:17+02:00","30,8","5","0:18","17"
"2020-06-30T08:33:18+02:00","33,5","3","0:16","14"
"2020-06-29T22:11:57+02:00","27,2","9","0:15","36"
"2020-06-29T15:05:17+02:00","30,4","3","0:07","30"
"2020-06-29T08:42:56+02:00","27,6","3","0:08","28"
"2020-06-28T20:30:07+02:00","18,0","145","2:19","63"
"2020-06-27T19:07:48+02:00","24,3","54","1:23","39"
"2020-06-26T20:35:55+02:00","23,5","187","3:22","56"
"2020-06-26T08:32:14+02:00","25,9","3","0:08","26"
"2020-06-25T19:26:39+02:00","29,4","9","0:11","52"
"2020-06-25T15:02:34+02:00","25,7","4","0:11","26"
"2020-06-25T08:36:18+02:00","24,8","3","0:08","27"
"2020-06-24T19:34:45+02:00","24,1","23","0:39","36"
"2020-06-24T14:52:55+02:00","25,3","3","0:07","29"
"2020-06-24T08:39:06+02:00","28,4","3","0:15","15"
"2020-06-23T22:33:24+02:00","26,9","9","0:15","37"
"2020-06-23T08:38:13+02:00","27,4","3","0:09","24"
"2020-06-22T22:12:07+02:00","31,3","8","0:16","29"
"2020-06-22T17:57:45+02:00","28,4","13","0:31","25"
"2020-06-22T08:35:42+02:00","25,8","3","0:08","26"
"2020-06-21T23:07:06+02:00","24,9","185","3:34","52"
"2020-06-20T18:07:57+02:00","22,9","30","0:42","43"
"2020-06-19T21:01:54+02:00","37,6","6","0:15","26"
"2020-06-18T21:47:10+02:00","38,3","137","2:03","67"
"2020-06-18T19:44:01+02:00","26,2","18","0:51","22"
"2020-06-18T08:11:14+02:00","26,7","3","0:09","23"
"2020-06-17T22:27:08+02:00","23,3","89","2:12","41"
"2020-06-17T08:13:34+02:00","26,2","3","0:09","24"
"2020-06-16T22:58:50+02:00","23,6","18","0:28","39"
"2020-06-16T17:46:54+02:00","26,0","24","0:44","33"
"2020-06-16T14:45:23+02:00","26,8","3","0:09","24"
"2020-06-15T22:22:09+02:00","22,7","9","0:16","36"
"2020-06-14T22:41:52+02:00","22,7","9","0:14","37"
"2020-06-14T13:56:48+02:00","23,5","25","0:45","33"
